ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
CONTENT#CHARACTER	Lord St. Simon	subject_people		
CONTENT#CHARACTER	Lord of Bones	subject_people		
CONTENT#CHARACTER	Lords	subject_people		
CONTENT#CHARACTER	Lorenzo Worthington	subject_people		
CONTENT#CHARACTER	Lori Walls	subject_people		
CONTENT#CHARACTER	Louis Junior	subject_people		
CONTENT#CHARACTER	Louis XI King of France (1423-1483)	subject_people		
CONTENT#CHARACTER	Louis XII King of France (1462-1515)	subject_people		
CONTENT#CHARACTER	Louisa Beckford	subject_people		
CONTENT#CHARACTER	Louisa May Alcott (1832-1888)	subject_people		
CONTENT#CHARACTER	Lowell Thomas (1892-)	subject_people		
CONTENT#CHARACTER	Lt. Hornett (Fictitious character)	subject_people		
CONTENT#CHARACTER	Lu-Tze (Fictitious character)	subject_people		
CONTENT#CHARACTER	Lucilla Worthington	subject_people		
CONTENT#CHARACTER	Lupine Wonse (Fictitious character)	subject_people		
CONTENT#CHARACTER	Macbeth King of Scotland (11th cent)	subject_people		
CONTENT#CHARACTER	Macbeth King of Scotland (11th cent., in literature)	subject_people		
CONTENT#CHARACTER	Macbeth King of Scotland (active 11th century)	subject_people		
CONTENT#CHARACTER	Mammon	biblical concept		
CONTENT#CHARACTER	Man in the Iron Mask	subject_people		
CONTENT#CHARACTER	March Hare	fictional rabbit or hare		
CONTENT#CHARACTER	March Hare	subject_people		
CONTENT#CHARACTER	Marguerite Queen, consort of Henry II, King of Navarre (1492-1549)	subject_people		
CONTENT#CHARACTER	Marguerite Queen, consort of Henry IV, King of France (1553-1615)	subject_people		
CONTENT#CHARACTER	Mariamne consort of Herod I, King of Judea (ca. 57-ca. 29 B.C)	subject_people		
CONTENT#CHARACTER	Marisa Coulter	fantasy film character		
CONTENT#CHARACTER	Mark of Cornwall	subject_people		
CONTENT#CHARACTER	Martha Clifford	fictional human		
CONTENT#CHARACTER	Martial	subject_people		
CONTENT#CHARACTER	Martin Luther (1483-1546)	subject_people		
CONTENT#CHARACTER	Mary	subject_people		
CONTENT#CHARACTER	Mary Ann	subject_people		
CONTENT#CHARACTER	Mary Arsenault	subject_people		
CONTENT#CHARACTER	Mary Blessed Virgin, Saint	subject_people		
CONTENT#CHARACTER	Mary Cowles	subject_people		
CONTENT#CHARACTER	Mary Datchet	subject_people		
CONTENT#CHARACTER	Mary I	subject_people		
CONTENT#CHARACTER	Mary Ire	subject_people		
CONTENT#CHARACTER	Mary King	fictional human		
CONTENT#CHARACTER	Mary Kingsley	fictional human		
CONTENT#CHARACTER	Mary Mercer	subject_people		
CONTENT#CHARACTER	Mary Morstan	crime film character		
CONTENT#CHARACTER	Mary Shelton	subject_people		
CONTENT#CHARACTER	Mary Sutherland	subject_people		
CONTENT#CHARACTER	Mary White Rowlandson (approximately 1635-1711)	subject_people		
CONTENT#CHARACTER	Mary White Rowlandson (ca. 1635-1711)	subject_people		
CONTENT#CHARACTER	Mary White Rowlandson (ca. 1635-ca. 1678)	subject_people		
CONTENT#CHARACTER	Mary Wollstonecraft (1759-1797)	subject_people		
CONTENT#CHARACTER	Matthew Wilson Black (1895-)	subject_people		
CONTENT#CHARACTER	Matthew the Apostle	human biblical figure		
CONTENT#CHARACTER	Maureen Walls	subject_people		
CONTENT#CHARACTER	May Goulding Dedalus	fictional human		
CONTENT#CHARACTER	Maya Young	subject_people		
CONTENT#CHARACTER	Medical Man	fictional character		
CONTENT#CHARACTER	Meg March	fictional human		
CONTENT#CHARACTER	Melvin Searles	subject_people		
CONTENT#CHARACTER	Meshugah (Fictitious character)	subject_people		
CONTENT#CHARACTER	Messengers	subject_people		
CONTENT#CHARACTER	Michael Corleone	subject_people		
CONTENT#CHARACTER	Michael Fisher (Fictional Character)	subject_people		
CONTENT#CHARACTER	Milly Bloom	fictional human		
CONTENT#CHARACTER	Milton Friedman (1912-2006)	subject_people		
CONTENT#CHARACTER	Minister of the Interior	subject_people		
CONTENT#CHARACTER	Minotaur	subject_people		
CONTENT#CHARACTER	Miss Eliott	fictional human		
CONTENT#CHARACTER	Miss Havisham	fictional human		
CONTENT#CHARACTER	Miss Lamb	fictional human		
CONTENT#CHARACTER	Miss Marple	crime film character		
CONTENT#CHARACTER	Miss Mayblunt	subject_people		
CONTENT#CHARACTER	Miss Norton	fictional human		
CONTENT#CHARACTER	Miss Pross	subject_people		
CONTENT#CHARACTER	Miss Watson	fictional human		
CONTENT#CHARACTER	Mitch Albom (1958-)	subject_people		
CONTENT#CHARACTER	Molly Bloom	fictional human		
CONTENT#CHARACTER	Mother	subject_people		
CONTENT#CHARACTER	Mouse	fictional mouse or rat		
CONTENT#CHARACTER	Mouse	subject_people		
CONTENT#CHARACTER	Mouth of Sauron	fantasy film character		
CONTENT#CHARACTER	Mowgli (Fictitious character)	subject_people		
CONTENT#CHARACTER	Mr Browne	subject_people		
CONTENT#CHARACTER	Mr Fox	subject_people		
CONTENT#CHARACTER	Mr Gardiner	fictional human		
CONTENT#CHARACTER	Mr William Collins	fictional human		
CONTENT#CHARACTER	Mr. Alleyne	subject_people		
CONTENT#CHARACTER	Mr. Carruthers	subject_people		
CONTENT#CHARACTER	Mr. Darcy	fictional human		
CONTENT#CHARACTER	Mr. Dashwood	fictional human		
CONTENT#CHARACTER	Mr. Davis	fictional human		
CONTENT#CHARACTER	Mr. Dawson	fictional human		
CONTENT#CHARACTER	Mr. Duffy	subject_people		
CONTENT#CHARACTER	Mr. Fezziwig	fictional human		
CONTENT#CHARACTER	Mr. Fitzpatrick	subject_people		
CONTENT#CHARACTER	Mr. Harris	subject_people		
CONTENT#CHARACTER	Mr. Hooper	subject_people		
CONTENT#CHARACTER	Mr. Hurst	fictional human		
CONTENT#CHARACTER	Mr. Ibis	subject_people		
CONTENT#CHARACTER	Mr. King	fictional human		
CONTENT#CHARACTER	Mr. Lamb	fictional human		
CONTENT#CHARACTER	Mr. March	fictional human		
CONTENT#CHARACTER	Mr. Merryweather	subject_people		
CONTENT#CHARACTER	Mr. Nancy	subject_people		
CONTENT#CHARACTER	Mr. Nutt	subject_people		
CONTENT#CHARACTER	Mr. Power	subject_people		
CONTENT#CHARACTER	Mr. Richards	subject_people		
CONTENT#CHARACTER	Mr. Rochester	fictional human		
CONTENT#CHARACTER	Mr. Slant (Fictitious character)	subject_people		
CONTENT#CHARACTER	Mr. Sowerberry	fictional human		
CONTENT#CHARACTER	Mr. Stotesbury	subject_people		
CONTENT#CHARACTER	Mr. Swales	fictional human		
CONTENT#CHARACTER	Mr. Toad	fictional frog or toad		
CONTENT#CHARACTER	Mr. Town	subject_people		
CONTENT#CHARACTER	Mr. Tumnus	subject_people		
CONTENT#CHARACTER	Mr. Wednesday	subject_people		
CONTENT#CHARACTER	Mr. Woodley	subject_people		
CONTENT#CHARACTER	Mr. World	subject_people		
CONTENT#CHARACTER	Mrs. Higgins	subject_people		
CONTENT#CHARACTER	Mrs. Hill	fictional human		
CONTENT#CHARACTER	Mrs. Kearney	subject_people		
CONTENT#CHARACTER	Mya Stone	subject_people		
CONTENT#CHARACTER	Myrtle Wilson	fictional human		
CONTENT#CHARACTER	Nancy	fictional human		
CONTENT#CHARACTER	Nancy Jones	subject_people		
CONTENT#CHARACTER	Napoleon Hill (1883-1970)	subject_people		
CONTENT#CHARACTER	Nathaniel Wyeth	subject_people		
CONTENT#CHARACTER	Natty (Fictitious character) Bumppo	subject_people		
CONTENT#CHARACTER	Natty Bumppo (Fictitious character)	subject_people		
CONTENT#CHARACTER	Nausicaa	mythological Greek character		
CONTENT#CHARACTER	Nearly Headless Nick	fantasy film character		
CONTENT#CHARACTER	Nell Trent	fictional human		
CONTENT#CHARACTER	Neville Longbottom	fantasy film character		
CONTENT#CHARACTER	Nobby Nobbs (Fictitious character)	subject_people		
CONTENT#CHARACTER	Officers	subject_people		
CONTENT#CHARACTER	Old Celestine	subject_people		
CONTENT#CHARACTER	Old Jack	subject_people		
CONTENT#CHARACTER	Old Man Curry	subject_people		
CONTENT#CHARACTER	Old Mis'	subject_people		
CONTENT#CHARACTER	Old Nick	subject_people		
CONTENT#CHARACTER	Oliver Goldsmith (1730?-1774)	subject_people		
CONTENT#CHARACTER	Oliver Sacks	subject_people		
CONTENT#CHARACTER	Oliver Stone	subject_people		
CONTENT#CHARACTER	Orson Fowler	subject_people		
CONTENT#CHARACTER	Ossian (3rd cent)	subject_people		
CONTENT#CHARACTER	Othell Yarwyck	subject_people		
CONTENT#CHARACTER	Othello (Fictitious character from Shakespeare)	subject_people		
CONTENT#CHARACTER	Ottyn Wythers	subject_people		
CONTENT#CHARACTER	Ovid (43 B.C.-17 or 18 A.D)	subject_people		
CONTENT#CHARACTER	P.-J Proudhon (1809-1865)	subject_people		
CONTENT#CHARACTER	Pam Freemantle	subject_people		
CONTENT#CHARACTER	Patchface	subject_people		
CONTENT#CHARACTER	Patti Smith	subject_people		
CONTENT#CHARACTER	Paul Bushey	subject_people		
CONTENT#CHARACTER	Paul Bäumer	subject_people		
CONTENT#CHARACTER	Paul Filebrown	subject_people		
CONTENT#CHARACTER	Paul Klee (1879-1940)	subject_people		
CONTENT#CHARACTER	Paul Klee (1879-1940,)	subject_people		
CONTENT#CHARACTER	Paul Sheldon	subject_people		
CONTENT#CHARACTER	Penelope	mythological Greek character		
CONTENT#CHARACTER	Penelope	subject_people		
CONTENT#CHARACTER	Percy Bysshe Shelley (1792-1822)	subject_people		
CONTENT#CHARACTER	Percy Jackson	fantasy film character		
CONTENT#CHARACTER	Percy Jackson	subject_people		
CONTENT#CHARACTER	Percy Jackson (Fictitious character)	subject_people		
CONTENT#CHARACTER	Percy Phelps	subject_people		
CONTENT#CHARACTER	Pete Freeman	subject_people		
CONTENT#CHARACTER	Peter Hawkins	fictional human		
CONTENT#CHARACTER	Peter I of Portugal	human		
CONTENT#CHARACTER	Peter J. Smith	subject_people		
CONTENT#CHARACTER	Peter Jaxton (Fictional Character)	subject_people		
CONTENT#CHARACTER	Peter the Headstrong	subject_people		
CONTENT#CHARACTER	Petyr Baelish	subject_people		
CONTENT#CHARACTER	Phil Doyle (Fictional Character)	subject_people		
CONTENT#CHARACTER	Philip Trent (Ficticious character)	subject_people		
CONTENT#CHARACTER	Phoebe Caulfield	fictional human		
CONTENT#CHARACTER	Pied Piper of Hamelin (Legendary character)	subject_people		
CONTENT#CHARACTER	Pitt Rivers	subject_people		
CONTENT#CHARACTER	Pixie Dark	subject_people		
CONTENT#CHARACTER	Plato. Republic. Book 5.	subject_people		
CONTENT#CHARACTER	Players	subject_people		
CONTENT#CHARACTER	Plutarch	subject_people		
CONTENT#CHARACTER	Police Inspector Jones	subject_people		
CONTENT#CHARACTER	Polly Mooney	subject_people		
CONTENT#CHARACTER	Polynesians	subject_people		
CONTENT#CHARACTER	Polyphemus	cyclops		
CONTENT#CHARACTER	Post-revolutionary French	subject_people		
CONTENT#CHARACTER	Power	subject_people		
CONTENT#CHARACTER	Precious Ramotswe (Fictitious character)	subject_people		
CONTENT#CHARACTER	President Bill Clinton	subject_people		
CONTENT#CHARACTER	President Obama	subject_people		
CONTENT#CHARACTER	President of the United States	subject_people		
CONTENT#CHARACTER	Preston Greenfield	subject_people		
CONTENT#CHARACTER	Prince Cadram (Fictitious character)	subject_people		
CONTENT#CHARACTER	Prince Hamlet	fictional human		
CONTENT#CHARACTER	Prince Myshkin	fictional human		
CONTENT#CHARACTER	Prior Philip	subject_people		
CONTENT#CHARACTER	Prison Chaplain	subject_people		
CONTENT#CHARACTER	Prison Governor	subject_people		
CONTENT#CHARACTER	Professor Challenger	fictional human		
CONTENT#CHARACTER	Professor Moriarty	crime film character		
CONTENT#CHARACTER	Professor Sanders	subject_people		
CONTENT#CHARACTER	Psychologist	fictional character		
CONTENT#CHARACTER	Pygmalion	subject_people		
CONTENT#CHARACTER	Queen Snow White.	subject_people		
CONTENT#CHARACTER	Queen of Hearts	fictional human		
CONTENT#CHARACTER	Queen of Hearts	subject_people		
CONTENT#CHARACTER	Queequeg	subject_people		
CONTENT#CHARACTER	Rachel Howells	subject_people		
CONTENT#CHARACTER	Ralph Smith	subject_people		
CONTENT#CHARACTER	Randyll Tarly	subject_people		
CONTENT#CHARACTER	Raphael Holinshed (d. 1580?)	subject_people		
CONTENT#CHARACTER	Red Riding Hood	subject_people		
CONTENT#CHARACTER	Reg Shoe (Fictitious character)	subject_people		
CONTENT#CHARACTER	Reg Shoe (Zombie; Fictitious character)	subject_people		
CONTENT#CHARACTER	Regan Hamleigh	subject_people		
CONTENT#CHARACTER	Renesmee Cullen	fantasy film character		
CONTENT#CHARACTER	Renfield	fictional human		
CONTENT#CHARACTER	Renly Baratheon	subject_people		
CONTENT#CHARACTER	Rex Walls	subject_people		
CONTENT#CHARACTER	Rhys Rhysson (Dwarf; Fictitious character)	subject_people		
CONTENT#CHARACTER	Rich Goleon	subject_people		
CONTENT#CHARACTER	Rich Moran	subject_people		
CONTENT#CHARACTER	Richard Arkwright	subject_people		
CONTENT#CHARACTER	Richard Cromwell	subject_people		
CONTENT#CHARACTER	Richard Duke of York (1411-1460)	subject_people		
CONTENT#CHARACTER	Richard Duke of York (1472-1483)	subject_people		
CONTENT#CHARACTER	Richard Grant White (1821-1885,)	subject_people		
CONTENT#CHARACTER	Richard Hannay (Fictitious character)	subject_people		
CONTENT#CHARACTER	Richard Hooker (1553 or 4-1600)	subject_people		
CONTENT#CHARACTER	Richard II King of England	subject_people		
CONTENT#CHARACTER	Richard II King of England (1367-1400)	subject_people		
CONTENT#CHARACTER	Richard II King of England (1367-1400,)	subject_people		
CONTENT#CHARACTER	Richard III King of England	subject_people		
CONTENT#CHARACTER	Richard III King of England (1421-1485)	subject_people		
CONTENT#CHARACTER	Richard III King of England (1452-1485)	subject_people		
CONTENT#CHARACTER	Richard Williams	subject_people		
CONTENT#CHARACTER	Richard of Kingsbridge	subject_people		
CONTENT#CHARACTER	Robert Browning (1812-1889)	subject_people		
CONTENT#CHARACTER	Robert Browning (1812-1898)	subject_people		
CONTENT#CHARACTER	Robert Burns (1759-1796)	subject_people		
CONTENT#CHARACTER	Robert Langdon (Fictitious character)	subject_people		
CONTENT#CHARACTER	Robert Mapplethorpe	subject_people		
CONTENT#CHARACTER	Robert Packington	subject_people		
CONTENT#CHARACTER	Robert Southey	subject_people		
CONTENT#CHARACTER	Robert William Browne (1800-1895)	subject_people		
CONTENT#CHARACTER	Robert of Gloucester	subject_people		
CONTENT#CHARACTER	Roger Chillingworth	fictional human		
CONTENT#CHARACTER	Romeo (Fictitious character)	subject_people		
CONTENT#CHARACTER	Roose Bolton	subject_people		
CONTENT#CHARACTER	Rose Mary Walls	subject_people		
CONTENT#CHARACTER	Royal family	subject_people		
CONTENT#CHARACTER	Russell Herman Conwell (1843-1925)	subject_people		
CONTENT#CHARACTER	Rusty Everett	subject_people		
CONTENT#CHARACTER	Saint Clement of Rome	subject_people		
CONTENT#CHARACTER	Samuel Johnson (1709-1784)	subject_people		
CONTENT#CHARACTER	Samuel Vimes (Fictitious character)	subject_people		
CONTENT#CHARACTER	Samwell Tarly	subject_people		
CONTENT#CHARACTER	Samwise	subject_people		
CONTENT#CHARACTER	Samwise Gamgee	fantasy film character		
CONTENT#CHARACTER	Samwise Gamgee	subject_people		
CONTENT#CHARACTER	Sandro Botticelli (1444 or 1445-1510)	subject_people		
CONTENT#CHARACTER	Sanger Rainsford	subject_people		
CONTENT#CHARACTER	Scott Staley	subject_people		
CONTENT#CHARACTER	Scout Finch (Fictitious character)	subject_people		
CONTENT#CHARACTER	Sea Lion Books	subject_people		
CONTENT#CHARACTER	Second Player	theatrical character		
CONTENT#CHARACTER	Shagwell	subject_people		
CONTENT#CHARACTER	She-who-must-be-obeyed	subject_people		
CONTENT#CHARACTER	Sheila Catherine Gordon	subject_people		
CONTENT#CHARACTER	Shelob	subject_people		
CONTENT#CHARACTER	Shere Khan	fictional tiger		
CONTENT#CHARACTER	Sherlock Holmes	crime film character		
CONTENT#CHARACTER	Sherlock Holmes	subject_people		
CONTENT#CHARACTER	Sherlock Holmes (Fictitious character)	subject_people		
CONTENT#CHARACTER	Shylock (Fictitious character)	subject_people		
CONTENT#CHARACTER	Simmon	subject_people		
CONTENT#CHARACTER	Simon Jenkins	subject_people		
CONTENT#CHARACTER	Sir Walter Scott	subject_people		
CONTENT#CHARACTER	Sir Walter Scott (1771-1832)	subject_people		
CONTENT#CHARACTER	Sister Gudule	fictional human		
CONTENT#CHARACTER	Small Paul	subject_people		
CONTENT#CHARACTER	Snow White	subject_people		
CONTENT#CHARACTER	Soaphead Church	subject_people		
CONTENT#CHARACTER	Socrate	subject_people		
CONTENT#CHARACTER	Socrates	subject_people		
CONTENT#CHARACTER	Soldiers	subject_people		
CONTENT#CHARACTER	Sophie	subject_people		
CONTENT#CHARACTER	Sophie Neveu	subject_people		
CONTENT#CHARACTER	Sophronia	fictional human		
CONTENT#CHARACTER	St. Clement of Rome	subject_people		
CONTENT#CHARACTER	Stacey Throckmorton	subject_people		
CONTENT#CHARACTER	Stanley Hopkins	subject_people		
CONTENT#CHARACTER	Stanley Kubrick	subject_people		
CONTENT#CHARACTER	Stephen Gardiner	subject_people		
CONTENT#CHARACTER	Stephen Hawking	subject_people		
CONTENT#CHARACTER	Stephen Hawking (1942-2018)	subject_people		
CONTENT#CHARACTER	Stephen King	subject_people		
CONTENT#CHARACTER	Stephen King (1947-)	subject_people		
CONTENT#CHARACTER	Stephen of Blois	subject_people		
CONTENT#CHARACTER	Steve Jobs	subject_people		
CONTENT#CHARACTER	Steve Jobs (1955-2011)	subject_people		
CONTENT#CHARACTER	Stevron Frey	subject_people		
CONTENT#CHARACTER	Stoneface Vimes (Fictitious character)	subject_people		
CONTENT#CHARACTER	Straton of Lampsacus	subject_people		
CONTENT#CHARACTER	Stratton Strawless	subject_people		
CONTENT#CHARACTER	Sunzi (6th cent. B.C)	subject_people		
CONTENT#CHARACTER	Sunzi (active 6th century B.C)	subject_people		
CONTENT#CHARACTER	Sutton Courtenay	subject_people		
CONTENT#CHARACTER	Sybil Ramkin (Fictitious character)	subject_people		
CONTENT#CHARACTER	Sybil Vimes (Fictitious character)	subject_people		
CONTENT#CHARACTER	Sydney Carton	subject_people		
CONTENT#CHARACTER	Sōseki Natsume (1867-1916)	subject_people		
CONTENT#CHARACTER	T. H. White (1906-1964)	subject_people		
CONTENT#CHARACTER	Taborlin the Great	subject_people		
CONTENT#CHARACTER	Taena of Myr	subject_people		
CONTENT#CHARACTER	Talking Cricket	literary character		
CONTENT#CHARACTER	Tara Westover	subject_people		
CONTENT#CHARACTER	Technical Boy	subject_people		
CONTENT#CHARACTER	The Authority	angels		
CONTENT#CHARACTER	The BFG	subject_people		
CONTENT#CHARACTER	The Coachman	fictional character		
CONTENT#CHARACTER	The Count of Monte Cristo	subject_people		
CONTENT#CHARACTER	The Cowardly Lion	video game character		
CONTENT#CHARACTER	The Demeter's Captain	fictional human		
CONTENT#CHARACTER	The Dowager (Shizue Ogata)	subject_people		
CONTENT#CHARACTER	The Dunedain	subject_people		
CONTENT#CHARACTER	The Fishers	subject_people		
CONTENT#CHARACTER	The Fox and the Cat	group of fictional characters		
CONTENT#CHARACTER	The Ghost	ghost in a work of fiction		
CONTENT#CHARACTER	The Gravediggers	group of fictional characters		
CONTENT#CHARACTER	The Great White Czar	subject_people		
CONTENT#CHARACTER	The Green Fisherman	character		
CONTENT#CHARACTER	The King	fictional human		
CONTENT#CHARACTER	The Librarian (Fictitious character)	subject_people		
CONTENT#CHARACTER	The Mender of Roads	subject_people		
CONTENT#CHARACTER	The Old Man of Restelo	fictional human		
CONTENT#CHARACTER	The Persian	literary character		
CONTENT#CHARACTER	The Queen of England	subject_people		
CONTENT#CHARACTER	The Seamstress	subject_people		
CONTENT#CHARACTER	The Smiths	subject_people		
CONTENT#CHARACTER	The Terrible Dogfish	literary character		
CONTENT#CHARACTER	The Tin Man	comics character		
CONTENT#CHARACTER	The Vengeance	subject_people		
CONTENT#CHARACTER	The boy	subject_people		
CONTENT#CHARACTER	Theo Jaxton (Fictional Character)	subject_people		
CONTENT#CHARACTER	Theon Greyjoy	subject_people		
CONTENT#CHARACTER	Theresa Asakuma	subject_people		
CONTENT#CHARACTER	Therese Defarge	subject_people		
CONTENT#CHARACTER	Theseus	subject_people		
CONTENT#CHARACTER	Theseus King of Athens	subject_people		
CONTENT#CHARACTER	Third Player	theatrical character		
CONTENT#CHARACTER	Thomas (Anglo-Norman poet)	subject_people		
CONTENT#CHARACTER	Thomas A. Watson	subject_people		
CONTENT#CHARACTER	Thomas Aquinas, Saint (1225-1274)	subject_people		
CONTENT#CHARACTER	Thomas Avery	subject_people		
CONTENT#CHARACTER	Thomas Creech (1659-1700)	subject_people		
CONTENT#CHARACTER	Thomas Cromwell	subject_people		
CONTENT#CHARACTER	Thomas Cromwell (1485-1540)	subject_people		
CONTENT#CHARACTER	Thomas Cromwell (1485?-1540)	subject_people		
CONTENT#CHARACTER	Thomas Cromwell Earl of Essex (1485?-1540)	subject_people		
CONTENT#CHARACTER	Thomas Cromwell comte de Essex (1485?-1540)	subject_people		
CONTENT#CHARACTER	Thomas Crowell	subject_people		
CONTENT#CHARACTER	Thomas Drummond	subject_people		
CONTENT#CHARACTER	Thomas Edward Lawrence (1888-1935)	subject_people		
CONTENT#CHARACTER	Thomas Hailes Lacy	subject_people		
CONTENT#CHARACTER	Thomas Howard	subject_people		
CONTENT#CHARACTER	Thomas More	human		
CONTENT#CHARACTER	Thomas More Sir, Saint (1478-1535)	subject_people		
CONTENT#CHARACTER	Thomas Wright (1810-1877)	subject_people		
CONTENT#CHARACTER	Thomas Wriothesley	subject_people		
CONTENT#CHARACTER	Thorneycroft Huxtable	subject_people		
CONTENT#CHARACTER	Three-eyed crow	subject_people		
CONTENT#CHARACTER	Thurston	subject_people		
CONTENT#CHARACTER	Thurston Marshall	subject_people		
CONTENT#CHARACTER	Titus (Legendary character) Andronicus	subject_people		
CONTENT#CHARACTER	Titus Andronicus (Fictitious character)	subject_people		
CONTENT#CHARACTER	Todd Richards	subject_people		
CONTENT#CHARACTER	Tom Jones (Fictitious character)	subject_people		
CONTENT#CHARACTER	Tom Sawyer, Detective	literary work		
CONTENT#CHARACTER	Tom of Sevenstreams	subject_people		
CONTENT#CHARACTER	Tommy, pseud. of British Soldier Atkins	subject_people		
CONTENT#CHARACTER	Towner Whitney	subject_people		
CONTENT#CHARACTER	Townsend	subject_people		
CONTENT#CHARACTER	Treebeard	fantasy film character		
CONTENT#CHARACTER	Trelawney Hope	subject_people		
CONTENT#CHARACTER	Trish Dunn	subject_people		
CONTENT#CHARACTER	Tristan (Legendary character)	subject_people		
CONTENT#CHARACTER	Tristan and Iseult	subject_people		
CONTENT#CHARACTER	Tuppence Cowley	subject_people		
CONTENT#CHARACTER	Two Clowns	subject_people		
CONTENT#CHARACTER	Two brave cops (a dog and a man)	subject_people		
CONTENT#CHARACTER	Tytos Blackwood	subject_people		
CONTENT#CHARACTER	Ulmer of the Kingswood	subject_people		
CONTENT#CHARACTER	Uncle Charles	fictional human		
CONTENT#CHARACTER	Uncle of the boy	subject_people		
CONTENT#CHARACTER	Undertaker II	theatrical character		
CONTENT#CHARACTER	Upton Sinclair (1878-1968)	subject_people		
CONTENT#CHARACTER	Vasily Denisov	fictional human		
CONTENT#CHARACTER	Victor Mattiece	subject_people		
CONTENT#CHARACTER	Vince Reynolds	subject_people		
CONTENT#CHARACTER	Violet Hunter	subject_people		
CONTENT#CHARACTER	Violet Smith	subject_people		
CONTENT#CHARACTER	Virgil	subject_people		
CONTENT#CHARACTER	Visit (Fictitious character)	subject_people		
CONTENT#CHARACTER	Vito Corleone	subject_people		
CONTENT#CHARACTER	W. Somerset Maugham (1874-1965)	subject_people		
CONTENT#CHARACTER	Walder Frey (Big Walder)	subject_people		
CONTENT#CHARACTER	Walder Frey (Black Walder)	subject_people		
CONTENT#CHARACTER	Walder Frey (Little Walder)	subject_people		
CONTENT#CHARACTER	Walder Rivers	subject_people		
CONTENT#CHARACTER	Walt Whitman (1819-1892)	subject_people		
CONTENT#CHARACTER	Walter Cromwell	subject_people		
CONTENT#CHARACTER	Walter Scott (1771-1832)	subject_people		
CONTENT#CHARACTER	Walter Scott Sir (1771-1832)	subject_people		
CONTENT#CHARACTER	Walton (Steelshanks)	subject_people		
CONTENT#CHARACTER	Warren Hastings (1732-1818)	subject_people		
CONTENT#CHARACTER	Washington Irving (1783-1859)	subject_people		
CONTENT#CHARACTER	Watch	subject_people		
CONTENT#CHARACTER	Watcher in the Water	fictional animal character		
CONTENT#CHARACTER	Wells	fictional human		
CONTENT#CHARACTER	White Rabbit	literary character		
CONTENT#CHARACTER	White Rabbit	subject_people		
CONTENT#CHARACTER	Whitney	subject_people		
CONTENT#CHARACTER	Wicked Witch of the West	witch in the Oz universe		
CONTENT#CHARACTER	Wilhelm Tell	subject_people		
CONTENT#CHARACTER	Will Parry	fictional human		
CONTENT#CHARACTER	Will Roper	subject_people		
CONTENT#CHARACTER	Willa Cather (1873-1947)	subject_people		
CONTENT#CHARACTER	William Beckford	subject_people		
CONTENT#CHARACTER	William Blackstone Sir (1723-1780)	subject_people		
CONTENT#CHARACTER	William Butts	subject_people		
CONTENT#CHARACTER	William Carey	subject_people		
CONTENT#CHARACTER	William Charles Macready (1793-1873)	subject_people		
CONTENT#CHARACTER	William Golding (1911-1993)	subject_people		
CONTENT#CHARACTER	William Greenwell	subject_people		
CONTENT#CHARACTER	William Grove	subject_people		
CONTENT#CHARACTER	William Kingston	subject_people		
CONTENT#CHARACTER	William Lyon Phelps (1865-1943)	subject_people		
CONTENT#CHARACTER	William Makepeace Thackeray (1811-1863) Becky Sharp	subject_people		
CONTENT#CHARACTER	William Shakespeare (1564-1616)	subject_people		
CONTENT#CHARACTER	William Stafford	subject_people		
CONTENT#CHARACTER	William Wordsworth (1770-1850)	subject_people		
CONTENT#CHARACTER	William of Baskerville	fictional human		
CONTENT#CHARACTER	William the Testy	subject_people		
CONTENT#CHARACTER	Willoughby Smith	subject_people		
CONTENT#CHARACTER	Wilson Mizner	subject_people		
CONTENT#CHARACTER	Winnie-the-Pooh (Fictitious character)	subject_people		
CONTENT#CHARACTER	Winston Churchill (1874-1965)	subject_people		
CONTENT#CHARACTER	Winston Churchill Sir (1874-1965)	subject_people		
CONTENT#CHARACTER	Winston Smith	fictional human		
CONTENT#CHARACTER	Witch-king of Angmar	fantasy film character		
CONTENT#CHARACTER	Wizard of Oz	fictional human		
CONTENT#CHARACTER	Wood-elves	subject_people		
CONTENT#CHARACTER	Wylis Manderly	subject_people		
CONTENT#CHARACTER	Xueqin Cao (approximately 1717-1763)	subject_people		
CONTENT#CHARACTER	Yorick	fictional human		
CONTENT#CHARACTER	Young Boy	subject_people		
CONTENT#CHARACTER	Young woman	subject_people		
CONTENT#CHARACTER	Zero (Fictional Character)	subject_people		
CONTENT#CHARACTER	a group of young boys	subject_people		
CONTENT#CHARACTER	and the other cops	subject_people		
CONTENT#CHARACTER	boy	subject_people		
CONTENT#CHARACTER	fishlegs	subject_people		
CONTENT#CHARACTER	petey the evil cat	subject_people		
CONTENT#CHARACTER	the Fae	subject_people		
CONTENT#CHARACTER	the chief	subject_people		
CONTENT#CHARACTER	the main character is Greg Heffley	subject_people		
CONTENT#CHARACTER	the man	subject_people		
CONTENT#CHARACTER	young Martin Chuzzlewit	fictional human		
CONTENT#CHARACTER	Éomer	fantasy film character		
CONTENT#CHARACTER	Éomer	subject_people		
CONTENT#EVENT	1548 - 1549 written	subject_times	Event	Event
CONTENT#EVENT	15th and 16th centuries	subject_times	Abstract	Abstract
CONTENT#EVENT	1700's- 1800's	subject_times	Abstract	Abstract
