ASPECT	VALUE	TYPE	DOLCE
CONTENT#CHARACTER	President Obama	subject_people	Person
CONTENT#CHARACTER	President of the United States	subject_people	Person
CONTENT#CHARACTER	Preston Greenfield	subject_people	Person
CONTENT#CHARACTER	Prince Cadram (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Prince Hamlet	fictional human	Personification
CONTENT#CHARACTER	Prince Myshkin	fictional human	Personification
CONTENT#CHARACTER	Prior Philip	subject_people	Person
CONTENT#CHARACTER	Prison Chaplain	subject_people	Person
CONTENT#CHARACTER	Prison Governor	subject_people	Person
CONTENT#CHARACTER	Professor Challenger	fictional human	Personification
CONTENT#CHARACTER	Professor Moriarty	crime film character	Personification
CONTENT#CHARACTER	Professor Sanders	subject_people	Person
CONTENT#CHARACTER	Psychologist	fictional character	Person
CONTENT#CHARACTER	Pygmalion	subject_people	Personification
CONTENT#CHARACTER	Queen Snow White.	subject_people	Personification
CONTENT#CHARACTER	Queen of Hearts	fictional human	Personification
CONTENT#CHARACTER	Queen of Hearts	subject_people	Personification
CONTENT#CHARACTER	Queequeg	subject_people	Personification
CONTENT#CHARACTER	Rachel Howells	subject_people	Person
CONTENT#CHARACTER	Ralph Smith	subject_people	Person
CONTENT#CHARACTER	Randyll Tarly	subject_people	Person
CONTENT#CHARACTER	Raphael Holinshed (d. 1580?)	subject_people	Person
CONTENT#CHARACTER	Red Riding Hood	subject_people	Personification
CONTENT#CHARACTER	Reg Shoe (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Reg Shoe (Zombie; Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Regan Hamleigh	subject_people	Person
CONTENT#CHARACTER	Renesmee Cullen	fantasy film character	Personification
CONTENT#CHARACTER	Renfield	fictional human	Personification
CONTENT#CHARACTER	Renly Baratheon	subject_people	Personification
CONTENT#CHARACTER	Rex Walls	subject_people	Person
CONTENT#CHARACTER	Rhys Rhysson (Dwarf; Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Rich Goleon	subject_people	Person
CONTENT#CHARACTER	Rich Moran	subject_people	Person
CONTENT#CHARACTER	Richard Arkwright	subject_people	Person
CONTENT#CHARACTER	Richard Cromwell	subject_people	Person
CONTENT#CHARACTER	Richard Duke of York (1411-1460)	subject_people	Person
CONTENT#CHARACTER	Richard Duke of York (1472-1483)	subject_people	Person
CONTENT#CHARACTER	Richard Grant White (1821-1885,)	subject_people	Person
CONTENT#CHARACTER	Richard Hannay (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Richard Hooker (1553 or 4-1600)	subject_people	Person
CONTENT#CHARACTER	Richard II King of England	subject_people	Person
CONTENT#CHARACTER	Richard II King of England (1367-1400)	subject_people	Person
CONTENT#CHARACTER	Richard II King of England (1367-1400,)	subject_people	Person
CONTENT#CHARACTER	Richard III King of England	subject_people	Person
CONTENT#CHARACTER	Richard III King of England (1421-1485)	subject_people	Person
CONTENT#CHARACTER	Richard III King of England (1452-1485)	subject_people	Person
CONTENT#CHARACTER	Richard Williams	subject_people	Person
CONTENT#CHARACTER	Richard of Kingsbridge	subject_people	Personification
CONTENT#CHARACTER	Robert Browning (1812-1889)	subject_people	Person
CONTENT#CHARACTER	Robert Browning (1812-1898)	subject_people	Person
CONTENT#CHARACTER	Robert Burns (1759-1796)	subject_people	Person
CONTENT#CHARACTER	Robert Langdon (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Robert Mapplethorpe	subject_people	Person
CONTENT#CHARACTER	Robert Packington	subject_people	Person
CONTENT#CHARACTER	Robert Southey	subject_people	Person
CONTENT#CHARACTER	Robert William Browne (1800-1895)	subject_people	Person
CONTENT#CHARACTER	Robert of Gloucester	subject_people	Person
CONTENT#CHARACTER	Roger Chillingworth	fictional human	Personification
CONTENT#CHARACTER	Romeo (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Roose Bolton	subject_people	Person
CONTENT#CHARACTER	Rose Mary Walls	subject_people	Person
CONTENT#CHARACTER	Royal family	subject_people	Group
CONTENT#CHARACTER	Russell Herman Conwell (1843-1925)	subject_people	Person
CONTENT#CHARACTER	Rusty Everett	subject_people	Person
CONTENT#CHARACTER	Saint Clement of Rome	subject_people	Person
CONTENT#CHARACTER	Samuel Johnson (1709-1784)	subject_people	Person
CONTENT#CHARACTER	Samuel Vimes (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Samwell Tarly	subject_people	Personification
CONTENT#CHARACTER	Samwise	subject_people	Person
CONTENT#CHARACTER	Samwise Gamgee	fantasy film character	Personification
CONTENT#CHARACTER	Samwise Gamgee	subject_people	Personification
CONTENT#CHARACTER	Sandro Botticelli (1444 or 1445-1510)	subject_people	Person
CONTENT#CHARACTER	Sanger Rainsford	subject_people	Person
CONTENT#CHARACTER	Scott Staley	subject_people	Person
CONTENT#CHARACTER	Scout Finch (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Sea Lion Books	subject_people	Collection
CONTENT#CHARACTER	Second Player	theatrical character	Personification
CONTENT#CHARACTER	Shagwell	subject_people	Personification
CONTENT#CHARACTER	She-who-must-be-obeyed	subject_people	Person
CONTENT#CHARACTER	Sheila Catherine Gordon	subject_people	Person
CONTENT#CHARACTER	Shelob	subject_people	Personification
CONTENT#CHARACTER	Shere Khan	fictional tiger	Organism
CONTENT#CHARACTER	Sherlock Holmes	crime film character	Personification
CONTENT#CHARACTER	Sherlock Holmes	subject_people	Personification
CONTENT#CHARACTER	Sherlock Holmes (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Shylock (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Simmon	subject_people	Person
CONTENT#CHARACTER	Simon Jenkins	subject_people	Person
CONTENT#CHARACTER	Sir Walter Scott	subject_people	Person
CONTENT#CHARACTER	Sir Walter Scott (1771-1832)	subject_people	Person
CONTENT#CHARACTER	Sister Gudule	fictional human	Personification
CONTENT#CHARACTER	Small Paul	subject_people	Personification
CONTENT#CHARACTER	Snow White	subject_people	Personification
CONTENT#CHARACTER	Soaphead Church	subject_people	Group
CONTENT#CHARACTER	Socrate	subject_people	Person
CONTENT#CHARACTER	Socrates	subject_people	Person
CONTENT#CHARACTER	Soldiers	subject_people	Group
CONTENT#CHARACTER	Sophie	subject_people	Person
CONTENT#CHARACTER	Sophie Neveu	subject_people	Person
CONTENT#CHARACTER	Sophronia	fictional human	Personification
CONTENT#CHARACTER	St. Clement of Rome	subject_people	Person
CONTENT#CHARACTER	Stacey Throckmorton	subject_people	Person
CONTENT#CHARACTER	Stanley Hopkins	subject_people	Person
CONTENT#CHARACTER	Stanley Kubrick	subject_people	Person
CONTENT#CHARACTER	Stephen Gardiner	subject_people	Person
CONTENT#CHARACTER	Stephen Hawking	subject_people	Person
CONTENT#CHARACTER	Stephen Hawking (1942-2018)	subject_people	Person
CONTENT#CHARACTER	Stephen King	subject_people	Person
CONTENT#CHARACTER	Stephen King (1947-)	subject_people	Person
CONTENT#CHARACTER	Stephen of Blois	subject_people	Person
CONTENT#CHARACTER	Steve Jobs	subject_people	Person
CONTENT#CHARACTER	Steve Jobs (1955-2011)	subject_people	Person
CONTENT#CHARACTER	Stevron Frey	subject_people	Person
CONTENT#CHARACTER	Stoneface Vimes (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Straton of Lampsacus	subject_people	Person
CONTENT#CHARACTER	Stratton Strawless	subject_people	Person
CONTENT#CHARACTER	Sunzi (6th cent. B.C)	subject_people	Person
CONTENT#CHARACTER	Sunzi (active 6th century B.C)	subject_people	Person
CONTENT#CHARACTER	Sutton Courtenay	subject_people	Person
CONTENT#CHARACTER	Sybil Ramkin (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Sybil Vimes (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Sydney Carton	subject_people	Person
CONTENT#CHARACTER	Sōseki Natsume (1867-1916)	subject_people	Person
CONTENT#CHARACTER	T. H. White (1906-1964)	subject_people	Person
CONTENT#CHARACTER	Taborlin the Great	subject_people	Personification
CONTENT#CHARACTER	Taena of Myr	subject_people	Personification
CONTENT#CHARACTER	Talking Cricket	literary character	Personification
CONTENT#CHARACTER	Tara Westover	subject_people	Person
CONTENT#CHARACTER	Technical Boy	subject_people	Personification
CONTENT#CHARACTER	The Authority	angels	Personification
CONTENT#CHARACTER	The BFG	subject_people	Organization
CONTENT#CHARACTER	The Coachman	fictional character	Personification
CONTENT#CHARACTER	The Count of Monte Cristo	subject_people	Person
CONTENT#CHARACTER	The Cowardly Lion	video game character	Personification
CONTENT#CHARACTER	The Demeter's Captain	fictional human	Personification
CONTENT#CHARACTER	The Dowager (Shizue Ogata)	subject_people	Personification
CONTENT#CHARACTER	The Dunedain	subject_people	Personification
CONTENT#CHARACTER	The Fishers	subject_people	Personification
CONTENT#CHARACTER	The Fox and the Cat	group of fictional characters	Personification
CONTENT#CHARACTER	The Ghost	ghost in a work of fiction	Personification
CONTENT#CHARACTER	The Gravediggers	group of fictional characters	Personification
CONTENT#CHARACTER	The Great White Czar	subject_people	Personification
CONTENT#CHARACTER	The Green Fisherman	character	Personification
CONTENT#CHARACTER	The King	fictional human	Personification
CONTENT#CHARACTER	The Librarian (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	The Mender of Roads	subject_people	Personification
CONTENT#CHARACTER	The Old Man of Restelo	fictional human	Personification
CONTENT#CHARACTER	The Persian	literary character	Personification
CONTENT#CHARACTER	The Queen of England	subject_people	Person
CONTENT#CHARACTER	The Seamstress	subject_people	Personification
CONTENT#CHARACTER	The Smiths	subject_people	Personification
CONTENT#CHARACTER	The Terrible Dogfish	literary character	Personification
CONTENT#CHARACTER	The Tin Man	comics character	Personification
CONTENT#CHARACTER	The Vengeance	subject_people	Personification
CONTENT#CHARACTER	The boy	subject_people	Personification
CONTENT#CHARACTER	Theo Jaxton (Fictional Character)	subject_people	Personification
CONTENT#CHARACTER	Theon Greyjoy	subject_people	Personification
CONTENT#CHARACTER	Theresa Asakuma	subject_people	Person
CONTENT#CHARACTER	Therese Defarge	subject_people	Person
CONTENT#CHARACTER	Theseus	subject_people	Personification
CONTENT#CHARACTER	Theseus King of Athens	subject_people	Person
CONTENT#CHARACTER	Third Player	theatrical character	Personification
CONTENT#CHARACTER	Thomas (Anglo-Norman poet)	subject_people	Person
CONTENT#CHARACTER	Thomas A. Watson	subject_people	Person
CONTENT#CHARACTER	Thomas Aquinas, Saint (1225-1274)	subject_people	Person
CONTENT#CHARACTER	Thomas Avery	subject_people	Person
CONTENT#CHARACTER	Thomas Creech (1659-1700)	subject_people	Person
CONTENT#CHARACTER	Thomas Cromwell	subject_people	Person
CONTENT#CHARACTER	Thomas Cromwell (1485-1540)	subject_people	Person
CONTENT#CHARACTER	Thomas Cromwell (1485?-1540)	subject_people	Person
CONTENT#CHARACTER	Thomas Cromwell Earl of Essex (1485?-1540)	subject_people	Person
CONTENT#CHARACTER	Thomas Cromwell comte de Essex (1485?-1540)	subject_people	Person
CONTENT#CHARACTER	Thomas Crowell	subject_people	Person
CONTENT#CHARACTER	Thomas Drummond	subject_people	Person
CONTENT#CHARACTER	Thomas Edward Lawrence (1888-1935)	subject_people	Person
CONTENT#CHARACTER	Thomas Hailes Lacy	subject_people	Person
CONTENT#CHARACTER	Thomas Howard	subject_people	Person
CONTENT#CHARACTER	Thomas More	human	Person
CONTENT#CHARACTER	Thomas More Sir, Saint (1478-1535)	subject_people	Person
CONTENT#CHARACTER	Thomas Wright (1810-1877)	subject_people	Person
CONTENT#CHARACTER	Thomas Wriothesley	subject_people	Person
CONTENT#CHARACTER	Thorneycroft Huxtable	subject_people	Person
CONTENT#CHARACTER	Three-eyed crow	subject_people	Personification
CONTENT#CHARACTER	Thurston	subject_people	Personification
CONTENT#CHARACTER	Thurston Marshall	subject_people	Person
CONTENT#CHARACTER	Titus (Legendary character) Andronicus	subject_people	Personification
CONTENT#CHARACTER	Titus Andronicus (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Todd Richards	subject_people	Person
CONTENT#CHARACTER	Tom Jones (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Tom Sawyer, Detective	literary work	InformationEntity
CONTENT#CHARACTER	Tom of Sevenstreams	subject_people	Personification
CONTENT#CHARACTER	Tommy, pseud. of British Soldier Atkins	subject_people	Personification
CONTENT#CHARACTER	Towner Whitney	subject_people	Person
CONTENT#CHARACTER	Townsend	subject_people	Person
CONTENT#CHARACTER	Treebeard	fantasy film character	Personification
CONTENT#CHARACTER	Trelawney Hope	subject_people	Person
CONTENT#CHARACTER	Trish Dunn	subject_people	Person
CONTENT#CHARACTER	Tristan (Legendary character)	subject_people	Personification
CONTENT#CHARACTER	Tristan and Iseult	subject_people	Personification
CONTENT#CHARACTER	Tuppence Cowley	subject_people	Person
CONTENT#CHARACTER	Two Clowns	subject_people	Personification
CONTENT#CHARACTER	Two brave cops (a dog and a man)	subject_people	Group
CONTENT#CHARACTER	Tytos Blackwood	subject_people	Personification
CONTENT#CHARACTER	Ulmer of the Kingswood	subject_people	Personification
CONTENT#CHARACTER	Uncle Charles	fictional human	Personification
CONTENT#CHARACTER	Uncle of the boy	subject_people	Person
CONTENT#CHARACTER	Undertaker II	theatrical character	Personification
CONTENT#CHARACTER	Upton Sinclair (1878-1968)	subject_people	Person
CONTENT#CHARACTER	Vasily Denisov	fictional human	Personification
CONTENT#CHARACTER	Victor Mattiece	subject_people	Person
CONTENT#CHARACTER	Vince Reynolds	subject_people	Person
CONTENT#CHARACTER	Violet Hunter	subject_people	Personification
CONTENT#CHARACTER	Violet Smith	subject_people	Person
CONTENT#CHARACTER	Virgil	subject_people	Personification
CONTENT#CHARACTER	Visit (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Vito Corleone	subject_people	Personification
CONTENT#CHARACTER	W. Somerset Maugham (1874-1965)	subject_people	Person
CONTENT#CHARACTER	Walder Frey (Big Walder)	subject_people	Personification
CONTENT#CHARACTER	Walder Frey (Black Walder)	subject_people	Personification
CONTENT#CHARACTER	Walder Frey (Little Walder)	subject_people	Personification
CONTENT#CHARACTER	Walder Rivers	subject_people	Person
CONTENT#CHARACTER	Walt Whitman (1819-1892)	subject_people	Person
CONTENT#CHARACTER	Walter Cromwell	subject_people	Person
CONTENT#CHARACTER	Walter Scott (1771-1832)	subject_people	Person
CONTENT#CHARACTER	Walter Scott Sir (1771-1832)	subject_people	Person
CONTENT#CHARACTER	Walton (Steelshanks)	subject_people	Person
CONTENT#CHARACTER	Warren Hastings (1732-1818)	subject_people	Person
CONTENT#CHARACTER	Washington Irving (1783-1859)	subject_people	Person
CONTENT#CHARACTER	Watch	subject_people	Group
CONTENT#CHARACTER	Watcher in the Water	fictional animal character	Personification
CONTENT#CHARACTER	Wells	fictional human	Personification
CONTENT#CHARACTER	White Rabbit	literary character	Personification
CONTENT#CHARACTER	White Rabbit	subject_people	Personification
CONTENT#CHARACTER	Whitney	subject_people	Person
CONTENT#CHARACTER	Wicked Witch of the West	witch in the Oz universe	Personification
CONTENT#CHARACTER	Wilhelm Tell	subject_people	Person
CONTENT#CHARACTER	Will Parry	fictional human	Personification
CONTENT#CHARACTER	Will Roper	subject_people	Person
CONTENT#CHARACTER	Willa Cather (1873-1947)	subject_people	Person
CONTENT#CHARACTER	William Beckford	subject_people	Person
CONTENT#CHARACTER	William Blackstone Sir (1723-1780)	subject_people	Person
CONTENT#CHARACTER	William Butts	subject_people	Person
CONTENT#CHARACTER	William Carey	subject_people	Person
CONTENT#CHARACTER	William Charles Macready (1793-1873)	subject_people	Person
CONTENT#CHARACTER	William Golding (1911-1993)	subject_people	Person
CONTENT#CHARACTER	William Greenwell	subject_people	Person
CONTENT#CHARACTER	William Grove	subject_people	Person
CONTENT#CHARACTER	William Kingston	subject_people	Person
CONTENT#CHARACTER	William Lyon Phelps (1865-1943)	subject_people	Person
CONTENT#CHARACTER	William Makepeace Thackeray (1811-1863) Becky Sharp	subject_people	Person
CONTENT#CHARACTER	William Shakespeare (1564-1616)	subject_people	Person
CONTENT#CHARACTER	William Stafford	subject_people	Person
CONTENT#CHARACTER	William Wordsworth (1770-1850)	subject_people	Person
CONTENT#CHARACTER	William of Baskerville	fictional human	Personification
CONTENT#CHARACTER	William the Testy	subject_people	Personification
CONTENT#CHARACTER	Willoughby Smith	subject_people	Person
CONTENT#CHARACTER	Wilson Mizner	subject_people	Person
CONTENT#CHARACTER	Winnie-the-Pooh (Fictitious character)	subject_people	Personification
CONTENT#CHARACTER	Winston Churchill (1874-1965)	subject_people	Person
CONTENT#CHARACTER	Winston Churchill Sir (1874-1965)	subject_people	Person
CONTENT#CHARACTER	Winston Smith	fictional human	Personification
CONTENT#CHARACTER	Witch-king of Angmar	fantasy film character	Personification
CONTENT#CHARACTER	Wizard of Oz	fictional human	Personification
CONTENT#CHARACTER	Wood-elves	subject_people	Personification
CONTENT#CHARACTER	Wylis Manderly	subject_people	Personification
CONTENT#CHARACTER	Xueqin Cao (approximately 1717-1763)	subject_people	Person
CONTENT#CHARACTER	Yorick	fictional human	Personification
CONTENT#CHARACTER	Young Boy	subject_people	Person
CONTENT#CHARACTER	Young woman	subject_people	Person
CONTENT#CHARACTER	Zero (Fictional Character)	subject_people	Personification
CONTENT#CHARACTER	a group of young boys	subject_people	Group
CONTENT#CHARACTER	and the other cops	subject_people	Group
CONTENT#CHARACTER	boy	subject_people	Person
CONTENT#CHARACTER	fishlegs	subject_people	Personification
CONTENT#CHARACTER	petey the evil cat	subject_people	Personification
CONTENT#CHARACTER	the Fae	subject_people	Personification
CONTENT#CHARACTER	the chief	subject_people	Personification
CONTENT#CHARACTER	the main character is Greg Heffley	subject_people	Personification
CONTENT#CHARACTER	the man	subject_people	Personification
CONTENT#CHARACTER	young Martin Chuzzlewit	fictional human	Personification
CONTENT#CHARACTER	Éomer	fantasy film character	Personification
CONTENT#CHARACTER	Éomer	subject_people	Personification
CONTENT#EVENT	1548 - 1549 written	subject_times	Event
CONTENT#EVENT	15th and 16th centuries	subject_times	TimeInterval
CONTENT#EVENT	1700's- 1800's	subject_times	TimeInterval
CONTENT#EVENT	1901-1910 (Édouard VII)	subject_times	TimeInterval
CONTENT#EVENT	1949-1976 Mao's Cultural Revolution	subject_times	Person
CONTENT#EVENT	20th edition to be out in 2020. released approx every 4 yrs	subject_times	Event
CONTENT#EVENT	6th grade 2018	subject_times	TimeInterval
CONTENT#EVENT	Age of Discovery	age	TimeInterval
CONTENT#EVENT	Age of Exploration	subject_times	TimeInterval
CONTENT#EVENT	American Civil War	subject_times	Event
CONTENT#EVENT	American Civil War	war	Event
CONTENT#EVENT	Ancient Greece	subject_times	TimeInterval
CONTENT#EVENT	Ancient India	subject_times	TimeInterval
CONTENT#EVENT	Ancient Times	subject_times	TimeInterval
CONTENT#EVENT	Around 1827	subject_times	TimeInterval
CONTENT#EVENT	Autumn and winter 1533	subject_times	TimeInterval
CONTENT#EVENT	B.C. 510-30, Republic	subject_times	TimeInterval
CONTENT#EVENT	Biblical Times	subject_times	TimeInterval
CONTENT#EVENT	British occupation, 1765-1947	subject_times	Event
CONTENT#EVENT	Bronze Age	subject_times	TimeInterval
CONTENT#EVENT	Charles I, 1625-1649	subject_times	TimeInterval
CONTENT#EVENT	Charles II, 1660-1685	subject_times	TimeInterval
CONTENT#EVENT	Christmas	subject_times	TimeInterval
CONTENT#EVENT	Chʻing dynasty, 1644-1912	subject_times	Collection
CONTENT#EVENT	Civil War, 1861-1865	subject_times	Event
CONTENT#EVENT	Civil War, 43-31 B.C.	subject_times	Event
CONTENT#EVENT	Civil War, 49-45 B.C.	subject_times	Event
CONTENT#EVENT	Consulate and First Empire, 1799-1815	subject_times	TimeInterval
CONTENT#EVENT	Contemporary	subject_times	Person
CONTENT#EVENT	Cultural Revolution, 1966-1976	subject_times	Event
CONTENT#EVENT	Current time	subject_times	TimeInterval
CONTENT#EVENT	Dawn of time-Roman antiquity	subject_times	Event
CONTENT#EVENT	Early 2000s	subject_times	TimeInterval
CONTENT#EVENT	Early church, ca. 30-600	subject_times	PhysicalObject
CONTENT#EVENT	Early modern and Elizabethan, 1500-1600	subject_times	TimeInterval
CONTENT#EVENT	Early modern, 1500-1700	subject_times	Event
CONTENT#EVENT	Early works to 1700	subject_times	Event
CONTENT#EVENT	Early works to 1800	subject_times	Event
CONTENT#EVENT	Early works to 1880	subject_times	Event
CONTENT#EVENT	Early works to 1900	subject_times	Event
CONTENT#EVENT	Edward IV, 1461-1483	subject_times	Person
CONTENT#EVENT	Edward VII, 1901-1910	subject_times	Person
CONTENT#EVENT	Empire, 30 B.C.-284 A.D	subject_times	TimeInterval
CONTENT#EVENT	Empire, 30 B.C.-284 A.D.	subject_times	TimeInterval
CONTENT#EVENT	Empire, 30 B.C.-476 A.D	subject_times	TimeInterval
CONTENT#EVENT	Empire, 30 B.C.-476 A.D.	subject_times	TimeInterval
CONTENT#EVENT	Eruption, 79	subject_times	Event
CONTENT#EVENT	Ethical Aspects	subject_times	Event
CONTENT#EVENT	European intervention, 1861-1867	subject_times	Event
CONTENT#EVENT	Everyman's Library Classics	subject_times	SocialObject
CONTENT#EVENT	Fictional pre-history	subject_times	InformationEntity
CONTENT#EVENT	First Age	subject_times	TimeInterval
CONTENT#EVENT	First, 1096-1099	subject_times	Event
CONTENT#EVENT	Flavians, 69-96	subject_times	Person
CONTENT#EVENT	Franco-Prussian war	subject_times	Event
CONTENT#EVENT	French Revolution	subject_times	Event
CONTENT#EVENT	French Revolution, 1789-1799	subject_times	Event
CONTENT#EVENT	French and Indian War, 1754-1763	subject_times	Event
CONTENT#EVENT	French and Indian War, 1755-1763	subject_times	Event
CONTENT#EVENT	Future	subject_times	TimeInterval
CONTENT#EVENT	German occupation, 1940-1945	subject_times	Event
CONTENT#EVENT	Germanic Invations, 3rd-6th centuries	subject_times	Event
CONTENT#EVENT	Germanic invasions, 3rd-6th centuries	subject_times	Event
CONTENT#EVENT	Great Depression	historical period	TimeInterval
CONTENT#EVENT	Hiking the Appalachian Trail	subject_times	Event
CONTENT#EVENT	In the Future	subject_times	TimeInterval
CONTENT#EVENT	Invasion of Russia	subject_times	Event
CONTENT#EVENT	Invasion of Russia, 1812	subject_times	Event
CONTENT#EVENT	Ionian Revolt, 499-494 B.C.	subject_times	Event
CONTENT#EVENT	Irish Revival	subject_times	TimeInterval
CONTENT#EVENT	Ivy Day	subject_times	InformationEntity
CONTENT#EVENT	Just before World War I.	subject_times	Event
CONTENT#EVENT	Late 1800's	subject_times	TimeInterval
CONTENT#EVENT	Late 1990s	subject_times	TimeInterval
CONTENT#EVENT	Late 19th to early 20th centuries	subject_times	TimeInterval
CONTENT#EVENT	Late Antiquity	subject_times	TimeInterval
CONTENT#EVENT	Latin Kingdom, 1099-1244	subject_times	TimeInterval
CONTENT#EVENT	London, 1665	subject_times	TimeInterval
CONTENT#EVENT	Mid sixties	subject_times	TimeInterval
CONTENT#EVENT	Middle Ages	subject_times	TimeInterval
CONTENT#EVENT	Middle Ages 600-1500	subject_times	TimeInterval
CONTENT#EVENT	Middle Ages, 600-1500	subject_times	TimeInterval
CONTENT#EVENT	Middle English, 1100-1500	subject_times	TimeInterval
CONTENT#EVENT	Middle High German, 1050-1500	subject_times	Person
CONTENT#EVENT	Middle ages	subject_times	TimeInterval
CONTENT#EVENT	Modern Day	subject_times	TimeInterval
CONTENT#EVENT	Modern Times	subject_times	Event
CONTENT#EVENT	Modern World	subject_times	Event
CONTENT#EVENT	Modern day	subject_times	TimeInterval
CONTENT#EVENT	Modern day America	subject_times	Topic
CONTENT#EVENT	Modern day society	subject_times	Collection
CONTENT#EVENT	Modern times	subject_times	Event
CONTENT#EVENT	Near Future	subject_times	Event
CONTENT#EVENT	PRESENTATION OF SELF	subject_times	Person
CONTENT#EVENT	Pacific Ocean	subject_times	Location
CONTENT#EVENT	Past	subject_times	TimeInterval
CONTENT#EVENT	Peloponnesian War, 431-404 B.C.	subject_times	Event
CONTENT#EVENT	Persian Wars, 500-449 B.C.	subject_times	Event
CONTENT#EVENT	Present Day	subject_times	TimeInterval
CONTENT#EVENT	Present day	subject_times	TimeInterval
CONTENT#EVENT	Present time	subject_times	TimeInterval
CONTENT#EVENT	Qing dynasty, 1644-1912	subject_times	Collection
CONTENT#EVENT	Republic, 265-30 B.C.	subject_times	Event
CONTENT#EVENT	Republic, 510-265 B.C.	subject_times	Event
CONTENT#EVENT	Restoration, 1660-1700	subject_times	Event
CONTENT#EVENT	Revolution	subject_times	Event
CONTENT#EVENT	Revolution 1917-1921	subject_times	Event
CONTENT#EVENT	Revolution, 1775-1783	subject_times	Event
CONTENT#EVENT	Revolution, 1789	subject_times	Event
CONTENT#EVENT	Revolution, 1789-1799	subject_times	Event
CONTENT#EVENT	Revolution, 1791-1794	subject_times	Event
CONTENT#EVENT	Revolution, 1917-192	subject_times	Event
CONTENT#EVENT	Revolution, 1917-1921	subject_times	Event
CONTENT#EVENT	Russian Revolution	subject_times	Event
CONTENT#EVENT	Second World War	subject_times	Event
CONTENT#EVENT	Spanish Civil War	civil war	Event
CONTENT#EVENT	Spanish colony, 1540-1810	subject_times	Collection
CONTENT#EVENT	The Beginning of Time to Eternity	subject_times	SocialObject
CONTENT#EVENT	The End of the Third Age	subject_times	TimeInterval
CONTENT#EVENT	The First Age	subject_times	TimeInterval
CONTENT#EVENT	The French Revolution 1789-99	subject_times	Event
CONTENT#EVENT	The Middle Ages or immediate post-Middle Ages.	subject_times	TimeInterval
CONTENT#EVENT	The Viking age though much more civlised than real thing.	subject_times	TimeInterval
CONTENT#EVENT	The bulk of the story is in 1942	subject_times	InformationEntity
CONTENT#EVENT	The end of the third age	subject_times	TimeInterval
CONTENT#EVENT	The events of 1Q84 take place in Tokyo during a fictionalized 1984	subject_times	InformationEntity
CONTENT#EVENT	The five Julii, 30 B.C.-68 A.D.	subject_times	TimeInterval
CONTENT#EVENT	The future	subject_times	TimeInterval
CONTENT#EVENT	The struggle among men for the affections of a single woman	subject_times	Person
CONTENT#EVENT	Third, 1189-1192	subject_times	Event
CONTENT#EVENT	Third-Age	subject_times	TimeInterval
CONTENT#EVENT	Timeless	subject_times	Event
CONTENT#EVENT	To 146 B.C	subject_times	TimeInterval
CONTENT#EVENT	To 146 B.C.	subject_times	TimeInterval
CONTENT#EVENT	To 168 B.C.	subject_times	TimeInterval
CONTENT#EVENT	To 332 B.C.	subject_times	TimeInterval
CONTENT#EVENT	To 527	subject_times	TimeInterval
CONTENT#EVENT	To 70 A.D.	subject_times	TimeInterval
CONTENT#EVENT	Two strangers falling in love at first sight but there’s a huge plot twist that will enhance the story	subject_times	Event
CONTENT#EVENT	Unknown	subject_times	Event
CONTENT#EVENT	Victorian England, 1837-1901	subject_times	TimeInterval
CONTENT#EVENT	Wars of Independence, 1810-1821	subject_times	Event
CONTENT#EVENT	Wars of the Roses, 1455-1485	subject_times	Event
CONTENT#EVENT	Winter 1529-Spring 1530	subject_times	TimeInterval
CONTENT#EVENT	World War I	subject_times	Event
CONTENT#EVENT	World War I	world war	Event
CONTENT#EVENT	World War II	subject_times	Event
CONTENT#EVENT	World War II	world war	Event
CONTENT#EVENT	World War Two (1939-45)	subject_times	Event
CONTENT#EVENT	Written and set in 1742	subject_times	Event
CONTENT#EVENT	Written and set in 1895	subject_times	Event
CONTENT#EVENT	Written by Agatha Christie after coming back from a winter in Egypt.	subject_times	Person
CONTENT#EVENT	Written in 1913	subject_times	Event
CONTENT#EVENT	and from 1948 to 1953?	subject_times	TimeInterval
CONTENT#EVENT	childhood	subject_times	Person
CONTENT#EVENT	discworld	subject_times	Location
CONTENT#EVENT	dystopian future	subject_times	TimeInterval
CONTENT#EVENT	early post-World WarI Scotland.	subject_times	TimeInterval
CONTENT#EVENT	far future	historical period	TimeInterval
